"cpsigen","cpsa3","cpsg1","cpso11","cpsa2"
NA,"conservative","verymuch opposed","canada","very likely"
NA,"other","somewhat opposed","canada","d.k."
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","will not vote","somewhat opposed","canada","somewhat likely"
"female","conservative","somewhat opposed","canada","very unlikely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","somewhat likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","d.k."
NA,"d.k.","verymuch opposed","canada","very likely"
"female","none","verymuch opposed","canada","somewhatunlikely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"female","d.k.","somewhat opposed","canada","somewhat likely"
NA,"d.k.","somewhat favour","canada","very unlikely"
NA,"bloc quebecois","verymuch opposed","canada","very unlikely"
NA,"bloc quebecois","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","d.k.","very likely"
"male","refused","verymuch opposed","canada","very likely"
NA,"d.k.","somewhat favour","canada","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"female","none","verymuch opposed","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"male","d.k.","d.k.","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"male","bloc quebecois","somewhat favour","canada","very likely"
"female","none","somewhat opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"male","bloc quebecois","somewhat favour","canada","somewhat likely"
"female","d.k.","verymuch favour","canada","d.k."
"female","bloc quebecois","somewhat favour","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very unlikely"
"male","conservative","somewhat favour","canada","very likely"
NA,"d.k.","somewhat opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very unlikely"
"female","bloc quebecois","verymuch opposed","france","very likely"
"female","conservative","verymuch favour","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
NA,"will not vote","d.k.","canada","very likely"
"male","none","somewhat opposed","canada","very likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"male","d.k.","somewhat favour","france","very likely"
"male","d.k.","verymuch opposed","canada","somewhat likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
NA,"d.k.","d.k.","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","none","verymuch opposed","canada","somewhatunlikely"
"male","liberal","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","conservative","somewhat opposed","canada","somewhat likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"female","d.k.","somewhat favour","canada","very unlikely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"female","liberal","somewhat opposed","italy","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"male","bloc quebecois","somewhat opposed","other european","very likely"
"female","bloc quebecois","somewhat favour","canada","very likely"
"male","bloc quebecois","somewhat opposed","canada","somewhat likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"male","conservative","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","somewhat likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very unlikely"
"male","d.k.","verymuch opposed","canada","somewhat likely"
"female","d.k.","somewhat favour","canada","somewhatunlikely"
"male","d.k.","somewhat favour","canada","very likely"
"male","conservative","somewhat opposed","canada","d.k."
"male","d.k.","verymuch opposed","canada","very likely"
"male","refused","somewhat opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very unlikely"
"female","bloc quebecois","somewhat favour","canada","very likely"
"female","conservative","d.k.","canada","very likely"
"female","bloc quebecois","verymuch favour","canada","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","none","verymuch opposed","italy","d.k."
"female","bloc quebecois","verymuch opposed","canada","very unlikely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","conservative","somewhat favour","canada","somewhat likely"
NA,"liberal","somewhat favour","canada","very likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
NA,"conservative","somewhat opposed","canada","very likely"
"male","conservative","verymuch favour","italy","very likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","will not vote","d.k.","refused","very unlikely"
"female","refused","verymuch opposed","canada","very likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","refused","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","d.k.","somewhat favour","canada","very likely"
"female","liberal","somewhat favour","canada","very unlikely"
"female","none","verymuch opposed","canada","somewhat likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","somewhat likely"
NA,"conservative","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"female","liberal","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very unlikely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","refused","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"female","none","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhat likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","d.k.","somewhat favour","caribbean","somewhat likely"
"female","liberal","somewhat favour","canada","very likely"
"female","refused","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch favour","canada","very likely"
"female","bloc quebecois","somewhat favour","canada","very likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","conservative","verymuch opposed","canada","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhatunlikely"
"female","liberal","somewhat opposed","germany","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","conservative","verymuch favour","canada","very likely"
"male","none","verymuch opposed","canada","somewhat likely"
"male","liberal","somewhat favour","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
NA,"liberal","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"female","d.k.","somewhat opposed","canada","very likely"
"male","none","somewhat opposed","canada","very likely"
"female","bloc quebecois","verymuch favour","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","refused","somewhat opposed","canada","very likely"
NA,"bloc quebecois","somewhat favour","canada","very likely"
NA,"d.k.","somewhat opposed","other","very unlikely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"female","liberal","somewhat opposed","canada","very likely"
NA,"d.k.","somewhat opposed","canada","somewhat likely"
"male","bloc quebecois","somewhat favour","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","very likely"
"male","d.k.","verymuch opposed","france","very likely"
"male","liberal","somewhat favour","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
NA,"bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","none","verymuch opposed","d.k.","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","very likely"
"male","refused","verymuch opposed","canada","very likely"
NA,"d.k.","somewhat favour","canada","very likely"
"male","conservative","verymuch favour","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"male","liberal","somewhat favour","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
"male","d.k.","somewhat favour","canada","somewhat likely"
NA,"d.k.","verymuch opposed","canada","very likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
NA,"d.k.","somewhat favour","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
"male","none","somewhat favour","canada","very likely"
"female","liberal","somewhat opposed","canada","very likely"
"female","will not vote","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","ndp","verymuch opposed","canada","somewhat likely"
"female","liberal","verymuch opposed","canada","very likely"
"male","conservative","verymuch opposed","canada","somewhat likely"
"female","liberal","verymuch opposed","canada","very likely"
NA,"liberal","somewhat opposed","canada","very likely"
"female","liberal","verymuch favour","canada","somewhat likely"
NA,"d.k.","verymuch opposed","canada","very likely"
NA,"bloc quebecois","somewhat opposed","canada","somewhat likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","ndp","verymuch opposed","canada","somewhatunlikely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"female","other","somewhat opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","somewhat likely"
"female","refused","somewhat opposed","canada","very likely"
"female","d.k.","somewhat favour","canada","very likely"
"female","d.k.","somewhat favour","canada","very likely"
"female","d.k.","d.k.","canada","somewhat likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","will not vote","verymuch opposed","canada","somewhatunlikely"
NA,"d.k.","somewhat opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
NA,"d.k.","somewhat opposed","canada","very likely"
"male","none","verymuch opposed","canada","somewhat likely"
"female","conservative","verymuch opposed","canada","very unlikely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","will not vote","verymuch opposed","canada","very unlikely"
"female","liberal","somewhat favour","canada","very likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"male","will not vote","verymuch opposed","canada","very unlikely"
"female","bloc quebecois","somewhat favour","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"female","liberal","somewhat opposed","canada","very likely"
"male","liberal","somewhat opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","somewhat likely"
"female","bloc quebecois","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
"female","bloc quebecois","d.k.","france","very likely"
"male","none","verymuch opposed","canada","very likely"
NA,"d.k.","verymuch opposed","canada","very unlikely"
NA,"d.k.","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"female","liberal","verymuch opposed","other asia","somewhatunlikely"
"female","liberal","somewhat favour","canada","somewhat likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","france","very likely"
"male","conservative","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","very likely"
"male","none","verymuch opposed","canada","very unlikely"
"male","liberal","somewhat favour","canada","very likely"
"female","liberal","somewhat favour","canada","very likely"
"female","conservative","somewhat opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
NA,"conservative","d.k.","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"female","liberal","somewhat opposed","caribbean","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","somewhatunlikely"
"female","conservative","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","refused","verymuch opposed","canada","very likely"
"male","will not vote","verymuch opposed","caribbean","very likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
"male","will not vote","verymuch opposed","canada","somewhat likely"
"male","d.k.","verymuch opposed","canada","d.k."
"male","d.k.","somewhat opposed","canada","very likely"
"male","d.k.","somewhat opposed","other european","very likely"
"male","bloc quebecois","somewhat opposed","canada","very likely"
"male","d.k.","somewhat favour","canada","very unlikely"
"female","d.k.","somewhat favour","canada","very likely"
NA,"d.k.","somewhat favour","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","somewhat likely"
"male","conservative","somewhat opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","liberal","verymuch opposed","canada","very likely"
NA,"bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
NA,"d.k.","somewhat favour","canada","somewhat likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","somewhat likely"
"male","conservative","somewhat opposed","canada","very likely"
"female","conservative","somewhat favour","canada","very likely"
NA,"d.k.","somewhat favour","canada","very likely"
"female","liberal","verymuch opposed","canada","somewhat likely"
"female","ndp","verymuch opposed","canada","very likely"
"male","conservative","somewhat favour","canada","very likely"
"male","bloc quebecois","d.k.","canada","very likely"
"female","none","verymuch opposed","canada","somewhat likely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","d.k.","somewhat opposed","canada","very likely"
"female","refused","somewhat opposed","canada","very likely"
"female","liberal","verymuch opposed","canada","very likely"
NA,"other","somewhat opposed","canada","very likely"
NA,"will not vote","verymuch opposed","canada","somewhat likely"
NA,"d.k.","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","bloc quebecois","verymuch opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","canada","very likely"
"male","d.k.","verymuch opposed","canada","very likely"
"female","d.k.","verymuch opposed","canada","somewhat likely"
"male","other","somewhat opposed","canada","very likely"
"male","bloc quebecois","verymuch opposed","france","very likely"
"female","conservative","verymuch favour","other european","very likely"
"male","d.k.","somewhat opposed","canada","somewhat likely"
"male","d.k.","somewhat opposed","canada","very likely"
"male","refused","verymuch opposed","canada","very likely"
"female","d.k.","somewhat opposed","canada","very likely"
NA,"bloc quebecois","somewhat opposed","canada","very likely"
"female","none","verymuch favour","canada","very unlikely"
